# 2theta y_obs y_calc y_diff
3.205319000000000074e+01 2.491000000000000000e+03 2.512034358559122211e+03 -2.103435855912221086e+01
3.206989999999999696e+01 2.503000000000000000e+03 2.509925855606045388e+03 -6.925855606045388413e+00
3.208661000000000030e+01 2.551000000000000000e+03 2.507825720613432168e+03 4.317427938656783226e+01
3.210331999999999653e+01 2.424000000000000000e+03 2.505733546947918967e+03 -8.173354694791896691e+01
3.212004000000000303e+01 2.576000000000000000e+03 2.503647705596352353e+03 7.235229440364764741e+01
3.213674999999999926e+01 2.557000000000000000e+03 2.501570329348098312e+03 5.542967065190168796e+01
3.215346000000000259e+01 2.479000000000000000e+03 2.499499826825629043e+03 -2.049982682562904301e+01
3.217016999999999882e+01 2.518000000000000000e+03 2.497435875673793817e+03 2.056412432620618347e+01
3.218688000000000216e+01 2.490000000000000000e+03 2.495378171757284235e+03 -5.378171757284235355e+00
3.220358999999999838e+01 2.493000000000000000e+03 2.493326428171020325e+03 -3.264281710203249531e-01
3.222030000000000172e+01 2.461000000000000000e+03 2.491280374315194877e+03 -3.028037431519487654e+01
3.223700999999999794e+01 2.484000000000000000e+03 2.489239755030214837e+03 -5.239755030214837461e+00
3.225372999999999735e+01 2.460000000000000000e+03 2.487203113208128798e+03 -2.720311320812879785e+01
3.227044000000000068e+01 2.447000000000000000e+03 2.485172658257686635e+03 -3.817265825768663490e+01
3.228714999999999691e+01 2.556000000000000000e+03 2.483146957073764042e+03 7.285304292623595757e+01
3.230386000000000024e+01 2.482000000000000000e+03 2.481125808664625765e+03 8.741913353742347681e-01
3.232056999999999647e+01 2.482000000000000000e+03 2.479109023908898052e+03 2.890976091101947532e+00
3.233727999999999980e+01 2.447000000000000000e+03 2.477096424968886822e+03 -3.009642496888682217e+01
3.235399000000000314e+01 2.450000000000000000e+03 2.475087844739587126e+03 -2.508784473958712624e+01
3.237069999999999936e+01 2.411000000000000000e+03 2.473083126330905998e+03 -6.208312633090599775e+01
3.238741999999999877e+01 2.504000000000000000e+03 2.471080926176299272e+03 3.291907382370072810e+01
3.240413000000000210e+01 2.467000000000000000e+03 2.469083501294272992e+03 -2.083501294272991800e+00
3.242083999999999833e+01 2.521000000000000000e+03 2.467089524052381421e+03 5.391047594761857908e+01
3.243755000000000166e+01 2.500000000000000000e+03 2.465098873837263000e+03 3.490112616273700041e+01
